"PLOT";"total";"PROPFOR";"PROPNATFOR";"SHA500";"region"
331;0;"0.991211310661062";"0.0487021331277307";"0.243988839";"Foot_hills"
333;0;"0.426006113092206";"0.0723467862481315";"0.792776602";"Foot_hills"
335;0;"0.107729530115879";"0";"0.341741884";"Foot_hills"
337;0;"0.782785841609371";"0";"0.600210648";"Foot_hills"
340;0;"0.559673926888295";"0";"0.686008221";"Foot_hills"
342;0;"0.835844360015721";"0.632915360501567";"1.0568878";"Foot_hills"
344;0;"0.96191567953127";"0.7578125";"0.694312771";"Foot_hills"
346;1;"1";"0.632336091661362";"0.657700657";"Foot_hills"
348;0;"0.982183761771443";"0.622181912412542";"0.740588011";"Foot_hills"
350;0;"0.945632798573975";"0.889861316817019";"0.539129108";"Foot_hills"
352;1;"0.990705373058314";"1";"0.052734525";"Foot_hills"
354;1;"1";"1";"0";"Foot_hills"
356;1;"1";"1";"0";"Foot_hills"
358;0;"0.187576959912437";"1";"0.838277756";"Banks"
359;0;"0.258120572116027";"1";"1.050785652";"Banks"
360;1;"0.916454406520632";"1";"0.287344666";"Foot_hills"
361;0;"0.466437396509999";"1";"1.058056448";"Banks"
