point;espece;total
524A_2;tourterelle des bois;0
524B_1;tourterelle des bois;1
524B_2;tourterelle des bois;0
524C_1;tourterelle des bois;1
524C_2;tourterelle des bois;0
524D_1;tourterelle des bois;2
524D_2;tourterelle des bois;0
682A_1;tourterelle des bois;0
682A_2;tourterelle des bois;0
682B_1;tourterelle des bois;0
682B_2;tourterelle des bois;0
682C_1;tourterelle des bois;0
682C_2;tourterelle des bois;0
682D_1;tourterelle des bois;0
682D_2;tourterelle des bois;0
689A_1;tourterelle des bois;0
689A_2;tourterelle des bois;0
689B_1;tourterelle des bois;0
689B_2;tourterelle des bois;0
689C_1;tourterelle des bois;0
689C_2;tourterelle des bois;0
689D_1;tourterelle des bois;0
689D_2;tourterelle des bois;0
695A_1;tourterelle des bois;0
695A_2;tourterelle des bois;0
695B_1;tourterelle des bois;0
695B_2;tourterelle des bois;0
695C_1;tourterelle des bois;0
695C_2;tourterelle des bois;0
695D_1;tourterelle des bois;0
695D_2;tourterelle des bois;0
702A_1;tourterelle des bois;0
702A_2;tourterelle des bois;0
702B_1;tourterelle des bois;0
702B_2;tourterelle des bois;0
702C_1;tourterelle des bois;0
702C_2;tourterelle des bois;0
702D_1;tourterelle des bois;0
702D_2;tourterelle des bois;0
708A_1;tourterelle des bois;0
708A_2;tourterelle des bois;0
708B_1;tourterelle des bois;0
708B_2;tourterelle des bois;0
708C_1;tourterelle des bois;0
708C_2;tourterelle des bois;0
708D_1;tourterelle des bois;0
708D_2;tourterelle des bois;0
771A_1;tourterelle des bois;0
771A_2;tourterelle des bois;0
771B_1;tourterelle des bois;0
771B_2;tourterelle des bois;0
771C_1;tourterelle des bois;0
771C_2;tourterelle des bois;0
771D_1;tourterelle des bois;0
771D_2;tourterelle des bois;0
791A_1;tourterelle des bois;0
791A_2;tourterelle des bois;0
791B_1;tourterelle des bois;0
791B_2;tourterelle des bois;0
791C_1;tourterelle des bois;0
791C_2;tourterelle des bois;0
791D_1;tourterelle des bois;0
791D_2;tourterelle des bois;0
001A_1;pic epeiche;1
001A_2;pic epeiche;2
001B_1;pic epeiche;1
001B_2;pic epeiche;2
001C_1;pic epeiche;1
001C_2;pic epeiche;0
001D_1;pic epeiche;0
001D_2;pic epeiche;0
016A_1;pic epeiche;0
016A_2;pic epeiche;0
016B_1;pic epeiche;0
016B_2;pic epeiche;0
016C_1;pic epeiche;0
016C_2;pic epeiche;0
016D_1;pic epeiche;1
016D_2;pic epeiche;0
025A_1;pic epeiche;0
025B_1;pic epeiche;0
025C_1;pic epeiche;0
025D_1;pic epeiche;0
030A_1;pic epeiche;0
030B_1;pic epeiche;1
030C_1;pic epeiche;0
030D_1;pic epeiche;0
053A_1;pic epeiche;0
053B_1;pic epeiche;1
053C_1;pic epeiche;0
053D_1;pic epeiche;0
058A_1;pic epeiche;0
058A_2;pic epeiche;1
058B_1;pic epeiche;0
058B_2;pic epeiche;0
058C_1;pic epeiche;0
058C_2;pic epeiche;0
058D_1;pic epeiche;0
058D_2;pic epeiche;0
063A_1;pic epeiche;0
063B_1;pic epeiche;1
063C_1;pic epeiche;0
063D_1;pic epeiche;0
143A_1;pic epeiche;0
143A_2;pic epeiche;0
143B_1;pic epeiche;0
143B_2;pic epeiche;0
143C_1;pic epeiche;2
143C_2;pic epeiche;0
143D_1;pic epeiche;0
143D_2;pic epeiche;0
166A_1;pic epeiche;0
166A_2;pic epeiche;0
166B_1;pic epeiche;1
166B_2;pic epeiche;1
166C_1;pic epeiche;0
166C_2;pic epeiche;1
166D_1;pic epeiche;0
166D_2;pic epeiche;1
168A_1;pic epeiche;0
168A_2;pic epeiche;0
168B_1;pic epeiche;0
168B_2;pic epeiche;0
168C_1;pic epeiche;0
168C_2;pic epeiche;0
168D_1;pic epeiche;0
168D_2;pic epeiche;1
182A_1;pic epeiche;0
182B_1;pic epeiche;0
182C_1;pic epeiche;2
182D_1;pic epeiche;0
199A_1;pic epeiche;0
199A_2;pic epeiche;0
199B_1;pic epeiche;0
199B_2;pic epeiche;0
199C_1;pic epeiche;0
199C_2;pic epeiche;0
199D_1;pic epeiche;0
199D_2;pic epeiche;0
213A_1;pic epeiche;0
213B_1;pic epeiche;0
213C_1;pic epeiche;2
213D_1;pic epeiche;0
242A_1;pic epeiche;0
242B_1;pic epeiche;0
242C_1;pic epeiche;0
242D_1;pic epeiche;0
260A_1;pic epeiche;0
260B_1;pic epeiche;0
260C_1;pic epeiche;0
260D_1;pic epeiche;0
271A_1;pic epeiche;0
271A_2;pic epeiche;1
271B_1;pic epeiche;0
271B_2;pic epeiche;0
271C_1;pic epeiche;0
271C_2;pic epeiche;1
271D_1;pic epeiche;1
271D_2;pic epeiche;0
354A_1;pic epeiche;0
354A_2;pic epeiche;0
354B_1;pic epeiche;0
354B_2;pic epeiche;0
354C_1;pic epeiche;0
354C_2;pic epeiche;0
354D_1;pic epeiche;0
354D_2;pic epeiche;0
385A_1;pic epeiche;0
385A_2;pic epeiche;1
385B_1;pic epeiche;0
385B_2;pic epeiche;0
385C_1;pic epeiche;0
385C_2;pic epeiche;0
385D_1;pic epeiche;0
385D_2;pic epeiche;0
434A_1;pic epeiche;0
434A_2;pic epeiche;0
434B_1;pic epeiche;0
434B_2;pic epeiche;0
434C_1;pic epeiche;1
434C_2;pic epeiche;0
434D_1;pic epeiche;1
434D_2;pic epeiche;1
