;HIEVIR;LACBIL;NATMAU;NATNAT;PODMUR;ZAMLON;CORGIR;ANGFRA;MALMON;PODLIO;RHISCA;VIPASP;CHASTR;TARMAU;TIMLEP;PSAALG;PSAEDW;EMYORB;MAULEP;CORAUS;HEMTUR;ZOOVIV;LACAGI;VIPBER
ID505;0;1;1;1;1;1;0;1;1;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0
ID506;0;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;0;0;1;0;0;0;0;0
ID507;0;1;1;0;0;0;0;0;1;1;0;1;1;0;1;0;1;0;0;0;0;0;0;0
ID508;0;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;0;0;0;0;0;0;0;0
ID509;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;0;0;0;0;0;0;0;0;0
ID510;1;1;0;0;1;0;0;0;1;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0
ID511;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ID538;1;1;1;1;1;0;1;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0
ID539;1;1;1;1;1;1;1;1;0;1;0;1;0;0;1;0;0;0;0;1;0;0;0;0
ID540;1;1;0;1;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0
ID541;1;1;1;1;1;1;1;1;1;1;0;1;0;0;1;0;0;0;0;0;0;0;1;0
ID542;1;1;1;1;1;1;1;1;1;1;0;1;0;0;1;0;0;0;0;1;0;0;1;0
ID543;1;1;1;1;1;1;1;1;1;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0
ID544;0;1;1;1;1;1;0;1;1;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0
ID545;0;1;0;1;1;1;0;1;1;1;0;0;1;1;1;0;1;0;0;0;0;0;0;0
ID546;0;1;1;0;1;0;0;1;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0
ID547;0;1;1;1;1;1;1;1;1;0;1;1;1;0;1;0;0;0;0;0;0;0;0;0
ID548;0;1;1;1;1;0;1;1;1;0;1;1;1;0;1;0;1;0;0;0;0;0;0;0
ID549;1;1;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
